tick, CC, CD, DC, DD
869,141,570,147,305
870,138,578,144,307
871,135,556,137,302
872,136,549,133,285
873,134,536,135,297
874,141,553,142,298
875,140,541,141,294
876,144,559,140,281
877,138,571,143,280
878,138,578,153,280
879,147,584,157,279
880,153,580,160,280
881,157,580,155,288
882,166,587,163,294
883,164,592,163,289
884,166,591,164,294
885,171,589,156,294
886,166,597,149,295
887,162,594,150,303
888,165,594,145,304
889,167,612,152,306
890,169,620,153,311
891,174,614,149,295
892,176,620,147,297
893,180,628,152,285
894,179,627,151,287
895,178,612,152,295
896,171,617,145,295
897,163,625,146,287
898,169,639,144,282
899,173,633,134,267
900,171,627,143,269
901,173,605,146,280
902,171,584,145,288
903,178,570,142,302
904,172,566,137,298
905,173,559,132,301
906,180,553,128,309
907,183,545,130,303
908,172,553,127,306
909,169,541,130,314
910,161,544,127,320
911,164,558,120,334
912,171,562,127,332
913,180,562,127,326
914,187,539,121,340
915,189,527,120,353
916,194,523,114,363
917,200,510,117,358
918,195,504,113,351
919,189,513,113,343
920,186,508,109,348
921,199,522,108,343
922,199,517,107,346
923,203,504,103,343
924,207,494,101,333
925,209,498,96,335
926,204,495,102,325
927,210,497,108,329
928,212,507,109,326
929,216,494,107,316
930,225,498,106,302
931,221,506,102,304
932,216,502,93,312
933,217,491,96,314
934,223,493,97,314
935,214,502,106,306
936,215,511,101,300
937,217,499,101,307
938,226,500,107,300
939,219,506,122,298
940,227,509,123,287
941,214,509,127,292
942,210,518,126,299
943,214,503,119,315
944,215,507,117,311
945,212,524,117,301
946,215,521,123,312
947,210,511,116,315
948,208,509,121,328
949,203,484,123,328
950,200,506,126,324
951,197,499,123,331
952,195,502,119,336
953,197,499,123,345
954,197,494,127,338
955,195,491,117,322
956,202,508,115,312
957,206,508,120,311
958,201,505,122,305
959,200,506,125,300
960,203,499,123,313
961,202,503,123,327
962,199,496,129,323
963,195,503,134,326
964,194,493,130,324
965,188,506,133,324
966,197,527,137,316
967,201,524,139,326
968,206,515,143,341
969,204,521,150,323
970,201,511,144,333
971,207,506,149,329
972,214,501,142,315
973,210,507,147,333
974,207,519,142,339
975,210,522,144,325
976,210,509,138,329
977,206,515,127,320
978,204,529,131,322
979,206,535,128,326
980,205,543,120,329
981,206,535,121,328
982,212,538,125,336
983,217,528,121,329
984,222,527,122,326
985,215,512,129,319
986,211,513,136,313
987,204,507,136,323
988,195,507,139,310
989,183,510,135,314
990,187,510,148,317
991,180,502,145,330
992,185,491,142,328
993,191,489,133,342
994,186,490,135,346
995,191,485,143,344
996,193,480,134,350
997,196,470,136,348
998,194,468,140,335
999,186,462,142,339
1000,193,457,139,339
1001,200,458,141,335
1002,201,483,144,337
1003,203,485,141,343
1004,204,489,147,341
1005,205,490,147,344
1006,211,493,146,332
1007,217,491,152,328
1008,217,502,151,327
1009,215,512,151,327
1010,219,518,143,323
1011,226,538,147,321
1012,233,533,143,312
1013,233,538,139,313
1014,242,550,133,323
1015,247,541,126,315
1016,253,536,123,308
1017,250,555,114,303
1018,238,556,121,300
1019,237,549,126,301
1020,228,547,116,309
1021,223,548,120,314
1022,226,546,114,310
1023,230,545,118,311
1024,230,545,115,313
1025,231,548,116,312
1026,239,550,112,320
1027,232,540,110,323
1028,228,545,111,322
1029,218,555,108,312
1030,221,555,102,308
1031,213,556,110,306
1032,210,551,111,305
1033,216,540,102,297
1034,207,560,100,293
1035,202,563,98,295
1036,205,561,102,303
1037,198,556,102,310
1038,198,549,93,307
1039,191,557,97,314
1040,201,555,85,316
1041,203,571,83,307
1042,208,594,78,306
1043,210,609,77,303
1044,208,620,80,318
1045,209,613,77,322
1046,207,602,76,310
1047,205,604,73,329
1048,203,605,75,326
1049,207,609,77,326
1050,216,607,78,324
1051,216,608,77,323
1052,217,613,73,319
1053,216,615,72,339
1054,217,619,80,338
1055,215,611,73,338
1056,219,601,77,349
1057,208,608,71,347
1058,202,604,70,355
1059,193,588,68,363
1060,196,585,68,369
1061,191,583,69,367
1062,190,593,66,374
1063,192,611,69,371
1064,183,609,71,365
1065,188,608,71,372
1066,186,607,77,356
1067,177,619,76,361
1068,183,609,76,366
1069,177,612,70,363
1070,183,632,77,365
1071,187,644,78,361
1072,185,636,81,369
1073,183,628,83,370
1074,168,641,89,353
1075,176,651,84,355
1076,168,668,88,357
1077,178,666,94,362
1078,182,671,88,364
1079,178,670,94,369
1080,181,669,99,380
1081,185,654,97,365
1082,190,643,102,373
1083,185,627,93,393
1084,181,614,91,397
1085,181,604,92,406
1086,185,603,91,389
1087,178,594,95,379
1088,178,612,97,393
1089,175,599,99,409
1090,172,593,94,391
1091,165,581,89,390
1092,161,594,91,393
1093,160,588,90,392
1094,152,587,89,399
1095,151,567,87,387
1096,157,575,94,390
1097,158,586,89,386
1098,156,567,91,389
1099,155,567,89,389
1100,160,574,84,389
1101,152,571,91,402
1102,147,592,92,407
1103,150,607,87,411
1104,148,617,88,395
1105,155,625,85,385
1106,159,620,85,384
1107,154,593,88,393
1108,155,589,95,392
1109,147,576,97,394
1110,137,593,90,405
1111,140,588,92,388
1112,133,590,102,400
1113,139,572,96,399
1114,139,586,99,399
1115,146,585,89,402
1116,139,589,92,409
1117,142,584,92,400
1118,149,579,92,396
1119,154,595,87,396
1120,152,566,87,401
1121,153,576,88,377
1122,149,583,88,369
1123,144,589,84,356
1124,144,601,84,368
1125,141,607,82,362
1126,142,608,82,360
1127,152,599,85,365
1128,148,598,89,357
